Date,adj close,close,high,low,open,volume,body,upper_wick,lower_wick,range,bullish,bearish,returns,log_returns,sma_20,ema_20,ema_50,rsi,macd,macd_signal,macd_hist,bb_high,bb_low,bb_mid,atr,obv,future_close,target
2021-07-08,15727.900390625,15727.900390625,15885.75,15682.900390625,15855.400390625,307900,127.5,30.349609375,45.0,202.849609375,0,1,-0.0095562557277451,-0.009602209739377547,15771.3375,15747.951871792917,,50.34280628459098,46.36380256553821,,,15895.934613794478,15646.740386205522,15771.3375,140.2656681997272,522500,15689.7998046875,0
2021-07-09,15689.7998046875,15689.7998046875,15730.849609375,15632.75,15688.25,243200,1.5498046875,41.0498046875,55.5,98.099609375,1,0,-0.0024224839292732447,-0.0024254228908178565,15765.860009765625,15742.41357968764,,47.91432658823375,36.315504297239386,,,15894.612379320097,15637.107640211154,15765.860009765625,137.25380685510385,279300,15692.599609375,1
2021-07-12,15692.599609375,15692.599609375,15789.2001953125,15644.75,15766.7998046875,216300,74.2001953125,22.400390625,47.849609375,144.4501953125,0,1,0.00017844744498685117,0.00017843152513541638,15759.897509765626,15737.669392038817,,48.11240691620199,28.252400280940492,,,15890.60854847133,15629.186471059922,15759.897509765626,137.76783460206073,495600,15812.349609375,1
2021-07-13,15812.349609375,15812.349609375,15820.7998046875,15744.599609375,15794.0,246700,18.349609375,8.4501953125,49.400390625,76.2001953125,1,0,0.007630985495128417,0.0076020168050800795,15757.052490234375,15744.781793689881,,55.846670827469914,31.165895421663663,,,15880.38800913135,15633.7169713374,15757.052490234375,137.08443179566353,742300,15853.9501953125,1
2021-07-14,15853.9501953125,15853.9501953125,15877.349609375,15764.2001953125,15808.7001953125,0,45.25,23.3994140625,44.5,113.1494140625,1,0,0.0026308921169333477,0.00262743737830436,15761.372509765624,15755.178784320608,,58.17884048281761,36.41194667027594,38.69445434870642,-2.282507678430484,15891.728922244336,15631.016097286913,15761.372509765624,135.37478767186613,742300,15924.2001953125,1
2021-07-15,15924.2001953125,15924.2001953125,15952.349609375,15855.0,15872.150390625,284900,52.0498046875,28.1494140625,17.150390625,97.349609375,1,0,0.004431072328003882,0.0044212840314639245,15773.0125,15771.27606155793,,61.84398620717126,45.71113842721752,40.09779116440865,5.6133472628088725,15917.145037368908,15628.879962631094,15773.0125,132.7336895569114,1027200,15923.400390625,0
2021-07-16,15923.400390625,15923.400390625,15962.25,15882.599609375,15958.349609375,276300,34.94921875,3.900390625,40.80078125,79.650390625,0,1,-5.0225736783704455e-05,-5.022699813825734e-05,15785.0150390625,15785.76409289765,,61.777604481118544,52.41210323690575,42.560653578908074,9.851449657997676,15937.04582966392,15632.98424846108,15785.0150390625,128.94202534748916,750900,15752.400390625,0
2021-07-19,15752.400390625,15752.400390625,15836.900390625,15707.5,15754.5,242100,2.099609375,82.400390625,44.900390625,129.400390625,0,1,-0.010738912280361723,-0.010796990571541962,15785.31005859375,15782.586597443113,,49.53531049822486,43.42383232441716,42.73328932800989,0.6905429964072738,15937.06339317504,15633.55672401246,15785.31005859375,135.15333715302566,508800,15632.099609375,0
2021-07-20,15632.099609375,15632.099609375,15728.4501953125,15578.5498046875,15703.9501953125,274300,71.8505859375,24.5,53.5498046875,149.900390625,0,1,-0.0076369809214345,-0.007666291987629491,15778.2775390625,15768.254503341388,,43.069038905769084,26.29023772261644,39.444679006931196,-13.154441284314757,15944.09185258307,15612.46322554193,15778.2775390625,137.9174263519167,234500,15824.0498046875,1
2021-07-22,15824.0498046875,15824.0498046875,15834.7998046875,15726.400390625,15736.599609375,265300,87.4501953125,10.75,10.19921875,108.3994140625,1,0,0.012279233123449584,0.012204454864528006,15785.13251953125,15773.568341564827,,53.49946000647522,27.879143712258156,37.13157194799659,-9.252428235738435,15946.555277704294,15623.709761358205,15785.13251953125,142.54476699195837,499800,15856.0498046875,1
